Conversation_Id,Clarity_and_Simplicity,Relevance_and_Accuracy,Tone_and_Supportiveness,Adaptability,Consistency_and_Flow
0,8.5,8.5,8.0,8.5,8.5
1,8.5,8.5,8.5,8.0,8.5
2,8.,8.5,8.5,8.5,8.0
3,8.5,8.0,8.5,8.5,8.3
4,8.5,8.5,8.5,8.5,8.5
5,8.5,8.,8.5,8.2,8.5
6,8.5,8.5,8.5,8.0,8.5
7,8.5,8.5,8.5,8.5,8.5
8,8.0,8.5,8.5,8.5,8.5
9,8.5,8.5,9.2,8.5,8.5
10,8.0,8.5,8.5,8.5,8.5
11,8.5,8.6,8.5,8.5,8.5
12,8.0,8.5,8.5,8.5,8.5
13,8.5,8.7,8.2,8.5,8.2
14,8.5,8.5,8.5,8.5,8.5
15,8.5,8.5,8.5,8.2,8.5
16,8.5,8.5,8.5,8.5,8.5
17,8.5,8.5,8.0,8.5,8.5
18,8.5,8.5,8.5,8.5,8.5
19,8.,8.5,8.5,8.,8.5
20,8.5,8.0,8.5,8.5,8.3
21,8.5,8.2,8.0,8.5,8.2
22,8.5,8.0,7.6,8.2,8.5
23,8.0,8.5,8.5,7.5,8.5
24,8.,8.5,8.5,8.5,8.0
25,8.5,7.3,8.6,8.0,8.5
26,8.5,8.0,8.0,8.5,8.5
27,8.5,8.5,7.2,8.5,7.8
28,8.5,8.2,8.5,8.,8.5
29,8.5,8.5,8.5,8.5,8.5
30,8.5,8.5,8.2,8.5,7.5
31,8.2,8.5,8.2,8.,8.5
32,8.5,8.5,8.5,8.2,8.5
33,8.2,8.2,8.0,7.5,8.5
34,8.5,8.2,8.5,8.5,8.2
35,8.5,8.5,8.5,8.5,8.5
36,8.5,8.5,8.5,8.5,8.5
37,8.5,8.2,8.5,8.0,8.5
38,8.5,8.2,8.5,8.5,8.5
39,8.5,8.5,8.5,8.0,8.0
40,8.5,8.5,8.5,8.,8.5
41,8.2,8.5,8.5,8.5,8.3
42,8.5,8.5,8.5,8.5,8.5
43,8.2,8.5,8.,8.5,8.5
44,8.5,8.3,8.5,8.5,8.5
45,8.5,8.5,8.5,8.5,8.5
46,8.5,8.2,8.5,8.5,8.5
47,8.5,8.5,8.5,8.5,8.5
48,8.5,8.5,8.5,8.5,8.5
49,8.5,8.5,8.5,8.5,8.5
50,8.5,8.5,8.5,8.5,8.5
